game_num,date,round,home_team,home_score,away_team,away_score,venue
15986.0,2022-03-18,R1,St,Kilda,12.13.85,Collingwood,Docklands
15993.0,2022-03-24,R2,Western,Bulldogs,13.12.90,Carlton,Docklands
15996.0,2022-03-26,R2,Essendon,10.15.75,Brisbane,Lions,Docklands
16002.0,2022-03-31,R3,Western,Bulldogs,9.17.71,Sydney,Docklands
16009.0,2022-04-03,R3,St,Kilda,18.9.117,Richmond,Docklands
16014.0,2022-04-09,R4,Collingwood,10.14.74,West,Coast,Docklands
16017.0,2022-04-10,R4,Essendon,15.13.103,Adelaide,15.9.99,Docklands
16027.0,2022-04-17,R5,Essendon,8.11.59,Fremantle,16.11.107,Docklands
16042.0,2022-04-30,R7,Carlton,17.12.114,North,Melbourne,Docklands
16045.0,2022-05-01,R7,Western,Bulldogs,16.7.103,Essendon,Docklands
16052.0,2022-05-07,R8,Essendon,16.12.108,Hawthorn,11.15.81,Docklands
16055.0,2022-05-08,R8,Carlton,17.14.116,Adelaide,10.8.68,Docklands
16056.0,2022-05-13,R9,Collingwood,7.9.51,Western,Bulldogs,Docklands
16059.0,2022-05-14,R9,St,Kilda,13.12.90,Geelong,Docklands
16065.0,2022-05-20,R10,Carlton,15.12.102,Sydney,13.9.87,Docklands
16068.0,2022-05-21,R10,North,Melbourne,8.5.53,Melbourne,Docklands
16083.0,2022-06-03,R12,Western,Bulldogs,10.10.70,Geelong,Docklands
16096.0,2022-06-17,R14,St,Kilda,11.6.72,Essendon,Docklands
16102.0,2022-06-24,R15,Western,Bulldogs,19.11.125,Hawthorn,Docklands
16104.0,2022-06-25,R15,Carlton,12.9.81,Fremantle,7.8.50,Docklands
16111.0,2022-07-01,R16,Carlton,10.18.78,St,Kilda,Docklands
16123.0,2022-07-09,R17,St,Kilda,10.10.70,Fremantle,Docklands
16126.0,2022-07-10,R17,Hawthorn,13.8.86,Adelaide,8.6.54,Docklands
16131.0,2022-07-16,R18,North,Melbourne,14.8.92,Richmond,Docklands
16136.0,2022-07-17,R18,Essendon,14.19.103,Gold,Coast,Docklands
16137.0,2022-07-22,R19,Richmond,7.10.52,Fremantle,7.10.52,Docklands
16142.0,2022-07-23,R19,Western,Bulldogs,17.8.110,Melbourne,Docklands
16143.0,2022-07-24,R19,Carlton,13.12.90,GW,Sydney,Docklands
16149.0,2022-07-30,R20,St,Kilda,10.15.75,Hawthorn,Docklands
16154.0,2022-07-31,R20,Essendon,17.12.114,North,Melbourne,Docklands
16158.0,2022-08-06,R21,Western,Bulldogs,11.12.78,Fremantle,Docklands
16161.0,2022-08-07,R21,North,Melbourne,13.10.88,Sydney,Docklands
16172.0,2022-08-14,R22,Essendon,9.8.62,Port,Adelaide,Docklands
16181.0,2022-08-21,R23,St,Kilda,11.8.74,Sydney,Docklands
16199.0,2023-03-19,R1,St,Kilda,10.7.67,Fremantle,Docklands
16207.0,2023-03-26,R2,Essendon,16.12.108,Gold,Coast,Docklands
16219.0,2023-04-07,R4,North,Melbourne,11.18.84,Carlton,Docklands
16224.0,2023-04-09,R4,Essendon,11.22.88,GW,Sydney,Docklands
16241.0,2023-04-23,R6,Carlton,8.12.60,St,Kilda,Docklands
16248.0,2023-04-29,R7,Western,Bulldogs,14.10.94,Hawthorn,Docklands
16252.0,2023-04-30,R7,Richmond,6.12.48,Gold,Coast,Docklands
16254.0,2023-05-05,R8,Carlton,11.8.74,Brisbane,Lions,Docklands
16269.0,2023-05-13,R9,Carlton,8.11.59,Western,Bulldogs,Docklands
16273.0,2023-05-20,R10,North,Melbourne,14.6.90,Sydney,Docklands
16282.0,2023-05-27,R11,St,Kilda,12.6.78,Hawthorn,Docklands
16288.0,2023-05-28,R11,Collingwood,16.9.105,North,Melbourne,Docklands
16293.0,2023-06-03,R12,Western,Bulldogs,10.15.75,Geelong,Docklands
16296.0,2023-06-04,R12,Essendon,16.9.105,North,Melbourne,Docklands
16320.0,2023-07-01,R16,Western,Bulldogs,16.6.102,Fremantle,Docklands
16327.0,2023-07-07,R17,Western,Bulldogs,11.11.77,Collingwood,Docklands
16330.0,2023-07-08,R17,St,Kilda,8.10.58,Melbourne,Docklands
16333.0,2023-07-09,R17,Essendon,17.13.115,Adelaide,15.7.97,Docklands
16339.0,2023-07-15,R18,Carlton,18.14.122,Port,Adelaide,Docklands
16342.0,2023-07-16,R18,North,Melbourne,6.4.40,Hawthorn,Docklands
16344.0,2023-07-21,R19,Essendon,7.7.49,Western,Bulldogs,Docklands
16346.0,2023-07-22,R19,Carlton,21.14.140,West,Coast,Docklands
16357.0,2023-07-29,R20,Essendon,15.9.99,Sydney,15.11.101,Docklands
16359.0,2023-07-30,R20,Hawthorn,14.9.93,St,Kilda,Docklands
16362.0,2023-08-04,R21,Western,Bulldogs,19.12.126,Richmond,Docklands
16363.0,2023-08-05,R21,Essendon,10.13.73,West,Coast,Docklands
16369.0,2023-08-06,R21,St,Kilda,8.6.54,Carlton,Docklands
16372.0,2023-08-12,R22,North,Melbourne,12.5.77,Essendon,Docklands
16378.0,2023-08-13,R22,St,Kilda,14.9.93,Richmond,Docklands
16380.0,2023-08-18,R23,Collingwood,15.10.100,Brisbane,Lions,Docklands
16384.0,2023-08-19,R23,St,Kilda,12.16.88,Geelong,Docklands
16397.0,2023-08-27,R24,Carlton,11.7.73,GW,Sydney,Docklands
16422.0,2024-03-23,R3,North,Melbourne,11.10.76,Fremantle,Docklands
16429.0,2024-03-29,R4,North,Melbourne,12.9.81,Carlton,Docklands
16431.0,2024-03-30,R4,Essendon,10.11.71,St,Kilda,Docklands
16446.0,2024-04-12,R6,Western,Bulldogs,9.13.67,Essendon,Docklands
16448.0,2024-04-13,R6,Carlton,14.14.98,Adelaide,16.4.100,Docklands
16456.0,2024-04-20,R7,Carlton,17.15.117,GW,Sydney,Docklands
16460.0,2024-04-21,R7,North,Melbourne,10.8.68,Hawthorn,Docklands
16477.0,2024-05-05,R9,Western,Bulldogs,14.7.91,Hawthorn,Docklands
