date,name
2022-01-03,New Year's Day
2022-01-26,Australia Day
2022-03-07,Labour Day
2022-03-14,Labour Day
2022-04-17,Easter Sunday
2022-04-18,Easter Monday
2022-05-02,Labour Day
2022-06-06,Western Australia Day
2022-09-23,Friday before AFL Grand Final
2022-10-03,Labour Day
2022-11-01,Melbourne Cup
2022-12-27,Christmas Day
2023-01-02,New Year's Day
2023-01-26,Australia Day
2023-03-06,Labour Day
2023-03-13,Labour Day
2023-04-09,Easter Sunday
2023-04-10,Easter Monday
2023-05-01,Labour Day
2023-06-05,Western Australia Day
2023-09-29,Friday before AFL Grand Final
2023-10-02,Labour Day
2023-11-07,Melbourne Cup
2023-12-25,Christmas Day
2024-01-01,New Year's Day
2024-01-26,Australia Day
2024-03-04,Labour Day
2024-03-11,Labour Day
2024-03-31,Easter Sunday
2024-04-01,Easter Monday
2024-05-06,Labour Day
2024-06-03,Western Australia Day
2024-09-27,Friday before AFL Grand Final
2024-10-07,Labour Day
2024-11-05,Melbourne Cup
2024-12-25,Christmas Day
